Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.096,-0.705188,0,0.0891489,0.841128,1,0.705188
0.097,-0.704897,0,0.0899892,0.839583,1,0.704897
0.098,-0.704606,0,0.090828,0.838039,1,0.704606
0.099,-0.704315,0,0.0916653,0.836498,1,0.704315
0.1,-0.704024,0,0.092501,0.834958,1,0.704024
0.101,-0.703733,0,0.0933352,0.83342,1,0.703733
0.102,-0.703441,0,0.0941679,0.831884,1,0.703441
0.103,-0.703149,0,0.094999,0.83035,1,0.703149
0.104,-0.702857,0,0.0958286,0.828817,1,0.702857
0.105,-0.702565,0,0.0966566,0.827286,1,0.702565
0.106,-0.702272,0,0.0974831,0.825758,1,0.702272
0.107,-0.70198,0,0.0983081,0.824231,1,0.70198
0.108,-0.701687,0,0.0991316,0.822706,1,0.701687
0.109,-0.701394,0,0.0999535,0.821182,1,0.701394
0.11,-0.701101,0,0.100774,0.819661,1,0.701101
0.111,-0.700807,0,0.101593,0.818141,1,0.700807
0.112,-0.700514,0,0.10241,0.816623,1,0.700514
0.113,-0.70022,0,0.103226,0.815107,1,0.70022
0.114,-0.699926,0,0.10404,0.813593,1,0.699926
0.115,-0.699632,0,0.104853,0.81208,1,0.699632
0.116,-0.699337,0,0.105665,0.81057,1,0.699337
0.117,-0.699043,0,0.106474,0.809061,1,0.699043
0.118,-0.698748,0,0.107283,0.807554,1,0.698748
0.119,-0.698453,0,0.10809,0.806048,1,0.698453
0.12,-0.698158,0,0.108895,0.804545,1,0.698158
0.121,-0.697863,0,0.109699,0.803043,1,0.697863
0.122,-0.697567,0,0.110501,0.801543,1,0.697567
0.123,-0.697271,0,0.111302,0.800045,1,0.697271
0.124,-0.696976,0,0.112101,0.798549,1,0.696976
0.125,-0.69668,0,0.112899,0.797055,1,0.69668
0.126,-0.696383,0,0.113695,0.795562,1,0.696383
0.127,-0.696087,0,0.11449,0.794071,1,0.696087
0.128,-0.69579,0,0.115283,0.792582,1,0.69579
0.129,-0.695494,0,0.116075,0.791095,1,0.695494
0.13,-0.695197,0,0.116865,0.789609,1,0.695197
0.131,-0.694899,0,0.117654,0.788125,1,0.694899
0.132,-0.694602,0,0.118442,0.786643,1,0.694602
0.133,-0.694305,0,0.119228,0.785163,1,0.694305
0.134,-0.694007,0,0.120012,0.783685,1,0.694007
0.135,-0.693709,0,0.120795,0.782208,1,0.693709
0.136,-0.693411,0,0.121576,0.780733,1,0.693411
0.137,-0.693113,0,0.122356,0.77926,1,0.693113
0.138,-0.692814,0,0.123135,0.777789,1,0.692814
0.139,-0.692516,0,0.123912,0.776319,1,0.692516
0.14,-0.692217,0,0.124688,0.774851,1,0.692217
0.141,-0.691918,0,0.125462,0.773385,1,0.691918
0.142,-0.691619,0,0.126234,0.771921,1,0.691619
0.143,-0.69132,0,0.127006,0.770458,1,0.69132
0.144,-0.69102,0,0.127775,0.768998,1,0.69102
0.145,-0.690721,0,0.128544,0.767539,1,0.690721
0.146,-0.690421,0,0.12931,0.766082,1,0.690421
0.147,-0.690121,0,0.130076,0.764626,1,0.690121
0.148,-0.689821,0,0.13084,0.763172,1,0.689821
0.149,-0.689521,0,0.131602,0.76172,1,0.689521
0.15,-0.68922,0,0.132363,0.76027,1,0.68922
0.151,-0.688919,0,0.133123,0.758822,1,0.688919
0.152,-0.688619,0,0.133881,0.757375,1,0.688619
0.153,-0.688318,0,0.134637,0.75593,1,0.688318
0.154,-0.688017,0,0.135393,0.754487,1,0.688017
0.155,-0.687715,0,0.136146,0.753045,1,0.687715
0.156,-0.687414,0,0.136899,0.751606,1,0.687414
0.157,-0.687112,0,0.13765,0.750168,1,0.687112
0.158,-0.68681,0,0.138399,0.748731,1,0.68681
0.159,-0.686508,0,0.139147,0.747297,1,0.686508
0.16,-0.686206,0,0.139894,0.745864,1,0.686206
0.161,-0.685904,0,0.140639,0.744433,1,0.685904
0.162,-0.685601,0,0.141382,0.743004,1,0.685601
0.163,-0.685299,0,0.142125,0.741576,1,0.685299
0.164,-0.684996,0,0.142866,0.74015,1,0.684996
0.165,-0.684693,0,0.143605,0.738726,1,0.684693
0.166,-0.68439,0,0.144343,0.737304,1,0.68439
0.167,-0.684087,0,0.14508,0.735883,1,0.684087
0.168,-0.683783,0,0.145815,0.734464,1,0.683783
0.169,-0.68348,0,0.146549,0.733047,1,0.68348
0.17,-0.683176,0,0.147281,0.731631,1,0.683176
0.171,-0.682872,0,0.148012,0.730217,1,0.682872
0.172,-0.682568,0,0.148741,0.728805,1,0.682568
0.173,-0.682264,0,0.149469,0.727395,1,0.682264
0.174,-0.68196,0,0.150196,0.725986,1,0.68196
0.175,-0.681655,0,0.150921,0.724579,1,0.681655
0.176,-0.68135,0,0.151645,0.723174,1,0.68135
0.177,-0.681046,0,0.152368,0.721771,1,0.681046
0.178,-0.680741,0,0.153089,0.720369,1,0.680741
0.179,-0.680435,0,0.153809,0.718969,1,0.680435
0.18,-0.68013,0,0.154527,0.71757,1,0.68013
0.181,-0.679825,0,0.155244,0.716174,1,0.679825
0.182,-0.679519,0,0.155959,0.714779,1,0.679519
0.183,-0.679213,0,0.156673,0.713385,1,0.679213
0.184,-0.678908,0,0.157386,0.711994,1,0.678908
0.185,-0.678602,0,0.158097,0.710604,1,0.678602
0.186,-0.678295,0,0.158807,0.709216,1,0.678295
0.187,-0.677989,0,0.159516,0.707829,1,0.677989
0.188,-0.677683,0,0.160223,0.706444,1,0.677683
0.189,-0.677376,0,0.160929,0.705061,1,0.677376
0.19,-0.677069,0,0.161633,0.70368,1,0.677069
0.191,-0.676762,0,0.162336,0.7023,1,0.676762
0.192,-0.676455,0,0.163038,0.700922,1,0.676455
0.193,-0.676148,0,0.163738,0.699546,1,0.676148
0.194,-0.675841,0,0.164437,0.698171,1,0.675841
0.195,-0.675533,0,0.165134,0.696798,1,0.675533
0.196,-0.675226,0,0.16583,0.695426,1,0.675226
0.197,-0.674918,0,0.166525,0.694057,1,0.674918
0.198,-0.67461,0,0.167218,0.692689,1,0.67461
0.199,-0.674302,0,0.16791,0.691323,1,0.674302
0.2,-0.673994,0,0.168601,0.689958,1,0.673994
0.201,-0.673685,0,0.16929,0.688595,1,0.673685
0.202,-0.673377,0,0.169978,0.687234,1,0.673377
0.203,-0.673068,0,0.170665,0.685874,1,0.673068
0.204,-0.672759,0,0.17135,0.684516,1,0.672759
0.205,-0.67245,0,0.172034,0.68316,1,0.67245
0.206,-0.672141,0,0.172716,0.681805,1,0.672141
0.207,-0.671832,0,0.173397,0.680452,1,0.671832
0.208,-0.671523,0,0.174077,0.679101,1,0.671523
0.209,-0.671213,0,0.174756,0.677751,1,0.671213
0.21,-0.670904,0,0.175433,0.676403,1,0.670904
0.211,-0.670594,0,0.176108,0.675057,1,0.670594
0.212,-0.670284,0,0.176783,0.673712,1,0.670284
0.213,-0.669974,0,0.177456,0.672369,1,0.669974
0.214,-0.669664,0,0.178127,0.671028,1,0.669664
0.215,-0.669354,0,0.178798,0.669688,1,0.669354
0.216,-0.669044,0,0.179467,0.66835,1,0.669044
0.217,-0.668733,0,0.180135,0.667014,1,0.668733
0.218,-0.668422,0,0.180801,0.665679,1,0.668422
0.219,-0.668112,0,0.181466,0.664346,1,0.668112
0.22,-0.667801,0,0.18213,0.663014,1,0.667801
0.221,-0.66749,0,0.182792,0.661685,1,0.66749
0.222,-0.667179,0,0.183453,0.660356,1,0.667179
0.223,-0.666867,0,0.184113,0.65903,1,0.666867
0.224,-0.666556,0,0.184771,0.657705,1,0.666556
0.225,-0.666244,0,0.185428,0.656382,1,0.666244
0.226,-0.665933,0,0.186084,0.65506,1,0.665933
0.227,-0.665621,0,0.186738,0.65374,1,0.665621
0.228,-0.665309,0,0.187391,0.652421,1,0.665309
0.229,-0.664997,0,0.188043,0.651105,1,0.664997
0.23,-0.664685,0,0.188693,0.64979,1,0.664685
0.231,-0.664372,0,0.189343,0.648476,1,0.664372
0.232,-0.66406,0,0.18999,0.647164,1,0.66406
0.233,-0.663747,0,0.190637,0.645854,1,0.663747
0.234,-0.663435,0,0.191282,0.644545,1,0.663435
0.235,-0.663122,0,0.191926,0.643238,1,0.663122
0.236,-0.662809,0,0.192569,0.641933,1,0.662809
0.237,-0.662496,0,0.19321,0.640629,1,0.662496
0.238,-0.662183,0,0.19385,0.639327,1,0.662183
0.239,-0.66187,0,0.194489,0.638026,1,0.66187
0.24,-0.661556,0,0.195126,0.636727,1,0.661556
0.241,-0.661243,0,0.195762,0.63543,1,0.661243
0.242,-0.660929,0,0.196397,0.634134,1,0.660929
0.243,-0.660615,0,0.19703,0.63284,1,0.660615
0.244,-0.660302,0,0.197662,0.631548,1,0.660302
0.245,-0.659988,0,0.198293,0.630257,1,0.659988
0.246,-0.659673,0,0.198923,0.628968,1,0.659673
0.247,-0.659359,0,0.199551,0.62768,1,0.659359
0.248,-0.659045,0,0.200178,0.626394,1,0.659045
0.249,-0.658731,0,0.200804,0.625109,1,0.658731
0.25,-0.658416,0,0.201429,0.623827,1,0.658416
0.251,-0.658101,0,0.202052,0.622545,1,0.658101
0.252,-0.657786,0,0.202674,0.621266,1,0.657786
0.253,-0.657472,0,0.203294,0.619987,1,0.657472
0.254,-0.657157,0,0.203914,0.618711,1,0.657157
0.255,-0.656841,0,0.204532,0.617436,1,0.656841
0.256,-0.656526,0,0.205148,0.616163,1,0.656526
0.257,-0.656211,0,0.205764,0.614891,1,0.656211
0.258,-0.655895,0,0.206378,0.613621,1,0.655895
0.259,-0.65558,0,0.206991,0.612352,1,0.65558
0.26,-0.655264,0,0.207603,0.611085,1,0.655264
0.261,-0.654948,0,0.208213,0.60982,1,0.654948
0.262,-0.654633,0,0.208823,0.608556,1,0.654633
0.263,-0.654317,0,0.209431,0.607294,1,0.654317
0.264,-0.654,0,0.210037,0.606033,1,0.654
0.265,-0.653684,0,0.210643,0.604774,1,0.653684
0.266,-0.653368,0,0.211247,0.603517,1,0.653368
0.267,-0.653052,0,0.21185,0.602261,1,0.653052
0.268,-0.652735,0,0.212451,0.601006,1,0.652735
0.269,-0.652418,0,0.213052,0.599753,1,0.652418
0.27,-0.652102,0,0.213651,0.598502,1,0.652102
0.271,-0.651785,0,0.214249,0.597253,1,0.651785
0.272,-0.651468,0,0.214845,0.596004,1,0.651468
0.273,-0.651151,0,0.215441,0.594758,1,0.651151
0.274,-0.650834,0,0.216035,0.593513,1,0.650834
0.275,-0.650516,0,0.216628,0.59227,1,0.650516
0.276,-0.650199,0,0.217219,0.591028,1,0.650199
0.277,-0.649882,0,0.21781,0.589787,1,0.649882
0.278,-0.649564,0,0.218399,0.588549,1,0.649564
0.279,-0.649246,0,0.218987,0.587312,1,0.649246
0.28,-0.648929,0,0.219574,0.586076,1,0.648929
0.281,-0.648611,0,0.220159,0.584842,1,0.648611
0.282,-0.648293,0,0.220743,0.583609,1,0.648293
0.283,-0.647975,0,0.221326,0.582378,1,0.647975
0.284,-0.647657,0,0.221908,0.581149,1,0.647657
0.285,-0.647339,0,0.222489,0.579921,1,0.647339
0.286,-0.64702,0,0.223068,0.578695,1,0.64702
0.287,-0.646702,0,0.223646,0.57747,1,0.646702
0.288,-0.646383,0,0.224223,0.576247,1,0.646383
0.289,-0.646065,0,0.224798,0.575025,1,0.646065
0.29,-0.645746,0,0.225373,0.573805,1,0.645746
0.291,-0.645427,0,0.225946,0.572586,1,0.645427
0.292,-0.645108,0,0.226518,0.571369,1,0.645108
0.293,-0.644789,0,0.227089,0.570154,1,0.644789
0.294,-0.64447,0,0.227658,0.56894,1,0.64447
0.295,-0.644151,0,0.228227,0.567727,1,0.644151
0.296,-0.643832,0,0.228794,0.566516,1,0.643832
0.297,-0.643512,0,0.22936,0.565307,1,0.643512
0.298,-0.643193,0,0.229924,0.564099,1,0.643193
0.299,-0.642873,0,0.230488,0.562892,1,0.642873
0.3,-0.642554,0,0.23105,0.561688,1,0.642554
0.301,-0.642234,0,0.231611,0.560484,1,0.642234
0.302,-0.641914,0,0.232171,0.559282,1,0.641914
0.303,-0.641594,0,0.23273,0.558082,1,0.641594
0.304,-0.641274,0,0.233287,0.556883,1,0.641274
0.305,-0.640954,0,0.233844,0.555686,1,0.640954
0.306,-0.640634,0,0.234399,0.55449,1,0.640634
0.307,-0.640314,0,0.234953,0.553296,1,0.640314
0.308,-0.639994,0,0.235505,0.552104,1,0.639994
0.309,-0.639673,0,0.236057,0.550912,1,0.639673
0.31,-0.639353,0,0.236607,0.549723,1,0.639353
0.311,-0.639032,0,0.237156,0.548535,1,0.639032
0.312,-0.638711,0,0.237704,0.547348,1,0.638711
0.313,-0.638391,0,0.238251,0.546163,1,0.638391
0.314,-0.63807,0,0.238796,0.544979,1,0.63807
0.315,-0.637749,0,0.239341,0.543797,1,0.637749
0.316,-0.637428,0,0.239884,0.542616,1,0.637428
0.317,-0.637107,0,0.240426,0.541437,1,0.637107
0.318,-0.636786,0,0.240967,0.54026,1,0.636786
0.319,-0.636464,0,0.241507,0.539083,1,0.636464
0.32,-0.636143,0,0.242045,0.537909,1,0.636143
0.321,-0.635822,0,0.242582,0.536736,1,0.635822
0.322,-0.6355,0,0.243119,0.535564,1,0.6355
0.323,-0.635179,0,0.243654,0.534394,1,0.635179
0.324,-0.634857,0,0.244187,0.533225,1,0.634857
0.325,-0.634535,0,0.24472,0.532058,1,0.634535
0.326,-0.634214,0,0.245251,0.530892,1,0.634214
0.327,-0.633892,0,0.245782,0.529728,1,0.633892
0.328,-0.63357,0,0.246311,0.528565,1,0.63357
0.329,-0.633248,0,0.246839,0.527404,1,0.633248
0.33,-0.632926,0,0.247366,0.526244,1,0.632926
0.331,-0.632603,0,0.247891,0.525086,1,0.632603
0.332,-0.632281,0,0.248416,0.523929,1,0.632281
0.333,-0.631959,0,0.248939,0.522774,1,0.631959
0.334,-0.631636,0,0.249461,0.52162,1,0.631636
0.335,-0.631314,0,0.249983,0.520468,1,0.631314
0.336,-0.630991,0,0.250502,0.519317,1,0.630991
0.337,-0.630669,0,0.251021,0.518168,1,0.630669
0.338,-0.630346,0,0.251539,0.51702,1,0.630346
0.339,-0.630023,0,0.252055,0.515873,1,0.630023
0.34,-0.629701,0,0.25257,0.514728,1,0.629701
0.341,-0.629378,0,0.253085,0.513585,1,0.629378
0.342,-0.629055,0,0.253598,0.512443,1,0.629055
0.343,-0.628732,0,0.25411,0.511302,1,0.628732
0.344,-0.628409,0,0.25462,0.510163,1,0.628409
0.345,-0.628085,0,0.25513,0.509025,1,0.628085
0.346,-0.627762,0,0.255638,0.507889,1,0.627762
0.347,-0.627439,0,0.256146,0.506754,1,0.627439
0.348,-0.627115,0,0.256652,0.505621,1,0.627115
0.349,-0.626792,0,0.257157,0.504489,1,0.626792
0.35,-0.626468,0,0.257661,0.503359,1,0.626468
0.351,-0.626145,0,0.258164,0.50223,1,0.626145
0.352,-0.625821,0,0.258665,0.501102,1,0.625821
0.353,-0.625498,0,0.259166,0.499976,1,0.625498
0.354,-0.625174,0,0.259665,0.498852,1,0.625174
0.355,-0.62485,0,0.260164,0.497728,1,0.62485
0.356,-0.624526,0,0.260661,0.496607,1,0.624526
0.357,-0.624202,0,0.261157,0.495486,1,0.624202
0.358,-0.623878,0,0.261652,0.494368,1,0.623878
0.359,-0.623554,0,0.262145,0.49325,1,0.623554
0.36,-0.62323,0,0.262638,0.492134,1,0.62323
0.361,-0.622906,0,0.26313,0.49102,1,0.622906
0.362,-0.622581,0,0.26362,0.489907,1,0.622581
0.363,-0.622257,0,0.26411,0.488795,1,0.622257
0.364,-0.621933,0,0.264598,0.487685,1,0.621933
0.365,-0.621608,0,0.265085,0.486576,1,0.621608
0.366,-0.621284,0,0.265571,0.485469,1,0.621284
0.367,-0.620959,0,0.266056,0.484363,1,0.620959
0.368,-0.620634,0,0.26654,0.483259,1,0.620634
0.369,-0.62031,0,0.267022,0.482156,1,0.62031
0.37,-0.619985,0,0.267504,0.481054,1,0.619985
0.371,-0.61966,0,0.267984,0.479954,1,0.61966
0.372,-0.619335,0,0.268464,0.478855,1,0.619335
0.373,-0.61901,0,0.268942,0.477758,1,0.61901
0.374,-0.618685,0,0.269419,0.476662,1,0.618685
0.375,-0.61836,0,0.269896,0.475568,1,0.61836
0.376,-0.618035,0,0.270371,0.474474,1,0.618035
0.377,-0.61771,0,0.270844,0.473383,1,0.61771
0.378,-0.617385,0,0.271317,0.472293,1,0.617385
0.379,-0.617059,0,0.271789,0.471204,1,0.617059
0.38,-0.616734,0,0.27226,0.470116,1,0.616734
0.381,-0.616409,0,0.272729,0.46903,1,0.616409
0.382,-0.616083,0,0.273198,0.467946,1,0.616083
0.383,-0.615758,0,0.273665,0.466863,1,0.615758
0.384,-0.615432,0,0.274131,0.465781,1,0.615432
0.385,-0.615107,0,0.274597,0.464701,1,0.615107
0.386,-0.614781,0,0.275061,0.463622,1,0.614781
0.387,-0.614455,0,0.275524,0.462544,1,0.614455
0.388,-0.61413,0,0.275986,0.461468,1,0.61413
0.389,-0.613804,0,0.276447,0.460393,1,0.613804
0.39,-0.613478,0,0.276907,0.45932,1,0.613478
0.391,-0.613152,0,0.277366,0.458248,1,0.613152
0.392,-0.612826,0,0.277823,0.457177,1,0.612826
0.393,-0.6125,0,0.27828,0.456108,1,0.6125
0.394,-0.612174,0,0.278735,0.455041,1,0.612174
0.395,-0.611848,0,0.27919,0.453974,1,0.611848
0.396,-0.611522,0,0.279643,0.452909,1,0.611522
0.397,-0.611196,0,0.280096,0.451846,1,0.611196
0.398,-0.61087,0,0.280547,0.450783,1,0.61087
0.399,-0.610544,0,0.280997,0.449723,1,0.610544
0.4,-0.610217,0,0.281447,0.448663,1,0.610217
0.401,-0.609891,0,0.281895,0.447605,1,0.609891
0.402,-0.609564,0,0.282342,0.446549,1,0.609564
0.403,-0.609238,0,0.282788,0.445493,1,0.609238
0.404,-0.608912,0,0.283233,0.444439,1,0.608912
0.405,-0.608585,0,0.283677,0.443387,1,0.608585
0.406,-0.608258,0,0.28412,0.442336,1,0.608258
0.407,-0.607932,0,0.284561,0.441286,1,0.607932
0.408,-0.607605,0,0.285002,0.440238,1,0.607605
0.409,-0.607278,0,0.285442,0.439191,1,0.607278
0.41,-0.606952,0,0.285881,0.438145,1,0.606952
0.411,-0.606625,0,0.286318,0.437101,1,0.606625
0.412,-0.606298,0,0.286755,0.436058,1,0.606298
0.413,-0.605971,0,0.28719,0.435016,1,0.605971
0.414,-0.605644,0,0.287625,0.433976,1,0.605644
0.415,-0.605317,0,0.288058,0.432938,1,0.605317
0.416,-0.60499,0,0.288491,0.4319,1,0.60499
0.417,-0.604663,0,0.288922,0.430864,1,0.604663
0.418,-0.604336,0,0.289352,0.429829,1,0.604336
0.419,-0.604009,0,0.289782,0.428796,1,0.604009
0.42,-0.603682,0,0.29021,0.427764,1,0.603682
0.421,-0.603355,0,0.290637,0.426734,1,0.603355
0.422,-0.603028,0,0.291063,0.425704,1,0.603028
0.423,-0.602701,0,0.291489,0.424676,1,0.602701
0.424,-0.602373,0,0.291913,0.42365,1,0.602373
0.425,-0.602046,0,0.292336,0.422625,1,0.602046
0.426,-0.601719,0,0.292758,0.421601,1,0.601719
0.427,-0.601391,0,0.293179,0.420578,1,0.601391
0.428,-0.601064,0,0.293599,0.419557,1,0.601064
0.429,-0.600736,0,0.294018,0.418537,1,0.600736
0.43,-0.600409,0,0.294436,0.417519,1,0.600409
0.431,-0.600081,0,0.294853,0.416502,1,0.600081
0.432,-0.599754,0,0.295269,0.415486,1,0.599754
0.433,-0.599426,0,0.295684,0.414472,1,0.599426
0.434,-0.599099,0,0.296098,0.413459,1,0.599099
0.435,-0.598771,0,0.296511,0.412447,1,0.598771
0.436,-0.598443,0,0.296923,0.411437,1,0.598443
0.437,-0.598116,0,0.297334,0.410428,1,0.598116
0.438,-0.597788,0,0.297744,0.40942,1,0.597788
0.439,-0.59746,0,0.298153,0.408413,1,0.59746
0.44,-0.597132,0,0.298561,0.407408,1,0.597132
0.441,-0.596804,0,0.298968,0.406405,1,0.596804
0.442,-0.596477,0,0.299374,0.405402,1,0.596477
0.443,-0.596149,0,0.299778,0.404401,1,0.596149
0.444,-0.595821,0,0.300182,0.403402,1,0.595821
0.445,-0.595493,0,0.300585,0.402403,1,0.595493
0.446,-0.595165,0,0.300987,0.401406,1,0.595165
0.447,-0.594837,0,0.301388,0.40041,1,0.594837
0.448,-0.594509,0,0.301788,0.399416,1,0.594509
0.449,-0.594181,0,0.302187,0.398423,1,0.594181
0.45,-0.593853,0,0.302585,0.397431,1,0.593853
0.451,-0.593525,0,0.302982,0.396441,1,0.593525
0.452,-0.593196,0,0.303378,0.395451,1,0.593196
0.453,-0.592868,0,0.303773,0.394464,1,0.592868
0.454,-0.59254,0,0.304167,0.393477,1,0.59254
0.455,-0.592212,0,0.30456,0.392492,1,0.592212
0.456,-0.591884,0,0.304952,0.391508,1,0.591884
0.457,-0.591555,0,0.305343,0.390525,1,0.591555
0.458,-0.591227,0,0.305733,0.389544,1,0.591227
0.459,-0.590899,0,0.306122,0.388564,1,0.590899
0.46,-0.590571,0,0.30651,0.387586,1,0.590571
0.461,-0.590242,0,0.306897,0.386608,1,0.590242
0.462,-0.589914,0,0.307283,0.385632,1,0.589914
0.463,-0.589585,0,0.307668,0.384657,1,0.589585
0.464,-0.589257,0,0.308052,0.383684,1,0.589257
0.465,-0.588929,0,0.308436,0.382712,1,0.588929
0.466,-0.5886,0,0.308818,0.381741,1,0.5886
0.467,-0.588272,0,0.309199,0.380772,1,0.588272
0.468,-0.587943,0,0.309579,0.379803,1,0.587943
0.469,-0.587615,0,0.309959,0.378836,1,0.587615
0.47,-0.587286,0,0.310337,0.377871,1,0.587286
0.471,-0.586958,0,0.310714,0.376906,1,0.586958
0.472,-0.586629,0,0.311091,0.375943,1,0.586629
0.473,-0.5863,0,0.311466,0.374982,1,0.5863
0.474,-0.585972,0,0.311841,0.374021,1,0.585972
0.475,-0.585643,0,0.312214,0.373062,1,0.585643
0.476,-0.585315,0,0.312587,0.372104,1,0.585315
